5.100000000000000366e-03 1.065378593773010432e-02 3.369759018576272847e-03 3.765065617952796304e-03 6.840606245547792980e-03
1.509999999999999884e-02 3.189172522536205118e-02 1.152812295828726727e-02 8.802463755075862900e-03 1.940290916488091738e-02
2.510000000000000078e-02 5.396525556693348991e-02 2.034133885302522038e-02 1.347633831529309809e-02 2.952395483673231347e-02
3.510000000000000620e-02 8.261210219949641220e-02 3.129646635066390958e-02 1.885129405954297926e-02 4.198453870408686700e-02
4.510000000000000120e-02 1.147545047410403751e-01 4.174681213296924098e-02 2.517400770072575344e-02 5.538602380224193211e-02
5.510000000000000314e-02 1.523143226156257746e-01 5.882753395992281614e-02 3.309362848331617174e-02 7.277998169054969435e-02
6.510000000000000508e-02 1.919909711601954783e-01 7.530797482810085153e-02 4.296069699933067337e-02 8.895331095511575803e-02
7.510000000000001397e-02 2.306649104400398109e-01 9.859614747874644036e-02 5.517768578034294713e-02 1.107211880784931407e-01
8.509999999999999509e-02 2.730433033923387320e-01 1.242581584663658284e-01 6.438262206699318924e-02 1.315227342080767525e-01
9.510000000000000397e-02 3.213126132749012931e-01 1.538356384350832440e-01 8.074118302775289135e-02 1.593683246871649695e-01
1.051000000000000129e-01 3.877421020630958393e-01 1.904664196694045297e-01 9.651550966848458646e-02 1.870613365882853596e-01
1.150999999999999940e-01 4.715518847732377283e-01 2.326634425214653967e-01 1.135621688283884601e-01 2.073542874579786532e-01
1.250999999999999890e-01 5.673245460722777800e-01 2.690077260254657987e-01 1.224295475079109491e-01 2.076085850879377248e-01
1.350999999999999979e-01 7.172713607017374704e-01 3.187764746075138489e-01 1.309593685803078777e-01 1.937747940188761508e-01
1.451000000000000068e-01 9.065745139718204282e-01 3.659258153694231464e-01 1.404629135194159217e-01 1.940799511748104722e-01
1.550999999999999879e-01 1.066005287063746421e+00 4.077135557495727425e-01 1.521475999199582707e-01 2.036161122977885873e-01
1.650999999999999968e-01 1.254361437139356106e+00 4.572503775975491069e-01 1.570421852232988247e-01 2.040738480316896808e-01
1.750999999999999779e-01 1.457423989764256245e+00 5.231721410702560027e-01 1.697135784754551235e-01 1.987844573287997629e-01
1.850999999999999868e-01 1.599098452959058392e+00 5.836504476668072927e-01 1.791132595354509860e-01 2.022937646220382135e-01
1.950999999999999956e-01 1.731093986446091249e+00 6.427371938589204747e-01 1.899800178879566537e-01 2.024972027259908935e-01
2.051000000000000045e-01 1.857435353801719646e+00 6.950298510176339262e-01 1.972764553958519240e-01 2.014800122062078702e-01
2.150999999999999857e-01 1.960324465576782416e+00 7.602558342881349240e-01 2.064294597429447431e-01 1.963940596072911160e-01
2.250999999999999945e-01 2.079340484692861146e+00 8.269961627047901498e-01 2.150631446944578640e-01 1.962160512663240763e-01
2.350999999999999757e-01 2.163470577306984666e+00 8.941321308443567206e-01 2.242680809811086473e-01 1.931644797069733965e-01
2.450999999999999845e-01 2.209539497414186648e+00 9.639557205491409153e-01 2.277864698861601089e-01 1.930373308920015907e-01
2.550999999999999934e-01 2.257349232217067847e+00 1.032305893355128124e+00 2.360566312607661477e-01 1.881802461600327325e-01
2.651000000000000023e-01 2.322358216213552318e+00 1.089632724918121687e+00 2.415743998388008296e-01 1.856626996235661020e-01
2.751000000000000112e-01 2.446875209768075266e+00 1.140274609440237841e+00 2.432621878744355981e-01 1.847726579187543572e-01
2.851000000000000201e-01 2.577686989262268469e+00 1.163412711850932091e+00 2.465988149910353922e-01 1.918929915572478162e-01
2.950999999999999734e-01 2.587170947724475312e+00 1.157423545011597055e+00 2.450408568042961865e-01 1.942325297527452699e-01
3.050999999999999823e-01 2.424634561215729622e+00 1.102115840309805694e+00 2.260337669260785165e-01 1.949445631165963588e-01
3.150999999999999912e-01 2.279520248181584385e+00 1.064243568910739235e+00 2.096362570106490020e-01 1.811870613365206828e-01
3.251000000000000001e-01 2.293056823255433585e+00 1.085649042190675040e+00 2.045339439490774791e-01 1.764825551825140726e-01
3.351000000000000090e-01 2.347314535691197968e+00 1.091911064010623100e+00 2.027293090494385053e-01 1.677347167123753313e-01
3.451000000000000179e-01 2.400026404677198411e+00 1.097641018617085740e+00 1.985487879150210355e-01 1.609449699928175437e-01
3.550999999999999712e-01 2.474115478126518219e+00 1.096836096422395546e+00 1.969518807736139743e-01 1.574102329365684450e-01
3.650999999999999801e-01 2.553148465311566806e+00 1.124107951799424798e+00 1.975620810634201585e-01 1.547146780591417137e-01
3.750999999999999890e-01 2.628184541955332243e+00 1.146591202255328845e+00 1.946798584179526281e-01 1.545366697181757287e-01
3.850999999999999979e-01 2.691424858220998306e+00 1.197656011998355918e+00 1.928882065032031523e-01 1.494761468822510264e-01
